Image index,image loading time,image preprocessing time,network inference time,image processing time,image overall time
558,0.037598371505737305,0.016202211380004883,0.0053904056549072266,0.021714210510253906,0.06216549873352051
559,0.028112411499023438,0.01127314567565918,0.00536346435546875,0.01671314239501953,0.04669594764709473
560,0.031588077545166016,0.013068675994873047,0.005450010299682617,0.018594741821289062,0.05238199234008789
561,0.02944779396057129,0.012130975723266602,0.005466938018798828,0.017673015594482422,0.0491180419921875
562,0.02762293815612793,0.011229515075683594,0.005437135696411133,0.016744613647460938,0.046326637268066406
563,0.02823328971862793,0.011569976806640625,0.005450725555419922,0.01709747314453125,0.04726576805114746
564,0.027101516723632812,0.01151418685913086,0.005408525466918945,0.016998291015625,0.045937299728393555
565,0.029159069061279297,0.011935949325561523,0.005460977554321289,0.0174713134765625,0.04894089698791504
566,0.025011539459228516,0.009134531021118164,0.0053713321685791016,0.014583587646484375,0.04110455513000488
567,0.022647857666015625,0.008766889572143555,0.00549006462097168,0.014332294464111328,0.038382768630981445
568,0.02648472785949707,0.011099815368652344,0.0055294036865234375,0.01670527458190918,0.04518318176269531
569,0.02617788314819336,0.011223316192626953,0.0053904056549072266,0.016689777374267578,0.04482245445251465
570,0.02901458740234375,0.011644840240478516,0.005383491516113281,0.0171051025390625,0.048209428787231445
571,0.027413606643676758,0.011635303497314453,0.0055713653564453125,0.017283201217651367,0.046605825424194336
572,0.029357433319091797,0.011842966079711914,0.005423069000244141,0.017343997955322266,0.04872250556945801
573,0.0282747745513916,0.011603832244873047,0.005473136901855469,0.01715230941772461,0.04741978645324707
574,0.027401208877563477,0.011281728744506836,0.0054035186767578125,0.016760826110839844,0.046025753021240234
575,0.026452064514160156,0.011300086975097656,0.005553722381591797,0.01692962646484375,0.045243024826049805
576,0.028528928756713867,0.011667013168334961,0.005501508712768555,0.0172421932220459,0.0476839542388916
577,0.026690006256103516,0.011218786239624023,0.005440235137939453,0.016736507415771484,0.04536581039428711
578,0.028192996978759766,0.011286735534667969,0.005469799041748047,0.01683211326599121,0.04688739776611328
579,0.026189804077148438,0.011101961135864258,0.005499362945556641,0.0166776180267334,0.04485750198364258
580,0.027718067169189453,0.011658906936645508,0.005480766296386719,0.017214536666870117,0.04683971405029297
581,0.02745842933654785,0.011479377746582031,0.005461692810058594,0.017017602920532227,0.04644298553466797
582,0.027554750442504883,0.01146841049194336,0.005509853363037109,0.017053604125976562,0.04653191566467285
583,0.028206825256347656,0.011582136154174805,0.005481243133544922,0.017139434814453125,0.0471799373626709
584,0.02856588363647461,0.011577844619750977,0.005440235137939453,0.017143964767456055,0.04755067825317383
585,0.03378653526306152,0.014749765396118164,0.005469083786010742,0.020295381546020508,0.05651998519897461
586,0.027133703231811523,0.011255025863647461,0.005414724349975586,0.016746044158935547,0.04583430290222168
587,0.0278928279876709,0.011150360107421875,0.0055119991302490234,0.016738414764404297,0.0465850830078125
588,0.027738332748413086,0.011263132095336914,0.00541377067565918,0.016752958297729492,0.046356201171875
589,0.02637314796447754,0.011226892471313477,0.005455493927001953,0.01675868034362793,0.04498553276062012
590,0.026690959930419922,0.011619091033935547,0.0053899288177490234,0.017083406448364258,0.04581594467163086
591,0.02690863609313965,0.011215686798095703,0.005431175231933594,0.016722917556762695,0.04548978805541992
592,0.02790093421936035,0.011184453964233398,0.005376100540161133,0.016636133193969727,0.04651904106140137
593,0.026525259017944336,0.011229515075683594,0.005374908447265625,0.016679763793945312,0.045061349868774414
594,0.044403076171875,0.02047562599182129,0.005480289459228516,0.02603316307067871,0.07388186454772949
595,0.026415348052978516,0.011260747909545898,0.005403995513916016,0.016739845275878906,0.045142412185668945
596,0.026343107223510742,0.011263608932495117,0.0054187774658203125,0.01675891876220703,0.0449678897857666
597,0.026816844940185547,0.01149439811706543,0.005475521087646484,0.017045259475708008,0.045893192291259766
598,0.026593446731567383,0.011237382888793945,0.005350828170776367,0.016664743423461914,0.045263051986694336
599,0.0284268856048584,0.012157440185546875,0.0053863525390625,0.01762080192565918,0.04813122749328613
600,0.02666306495666504,0.011407852172851562,0.00544285774230957,0.016927719116210938,0.04543876647949219
601,0.022550106048583984,0.009013175964355469,0.005371570587158203,0.01446223258972168,0.038579463958740234
602,0.037740230560302734,0.015218019485473633,0.0053708553314208984,0.020665407180786133,0.061159610748291016
603,0.03018784523010254,0.01193380355834961,0.005404472351074219,0.017416000366210938,0.04962658882141113
604,0.02713155746459961,0.011435747146606445,0.005422353744506836,0.016933917999267578,0.046309471130371094
605,0.026673078536987305,0.011202096939086914,0.0054912567138671875,0.016771554946899414,0.04542875289916992
606,0.026609182357788086,0.011229276657104492,0.005419492721557617,0.016725778579711914,0.04531669616699219
607,0.02590489387512207,0.011240720748901367,0.005417585372924805,0.016780614852905273,0.04455924034118652
608,0.026007652282714844,0.01122593879699707,0.005423307418823242,0.016725778579711914,0.04458284378051758
609,0.026388883590698242,0.011504650115966797,0.00553131103515625,0.017110109329223633,0.04553103446960449
610,0.025921344757080078,0.011226177215576172,0.005419254302978516,0.016722917556762695,0.04459738731384277
611,0.025805950164794922,0.011276483535766602,0.005432605743408203,0.016786813735961914,0.044539690017700195
612,0.026294946670532227,0.011225461959838867,0.005388021469116211,0.01669001579284668,0.04483675956726074
613,0.02684617042541504,0.011456727981567383,0.005539417266845703,0.01707172393798828,0.04589653015136719
614,0.026534557342529297,0.011539697647094727,0.005403280258178711,0.01701974868774414,0.04548335075378418
